SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J09092429+37410873,13.66,0.688,3,4,137.35121,37.685758,SBb,-99
J09193078+38575753,14.7,0.481,3,0,139.87825,38.965981,Sb,-99
J09210167+39092366,31.92,0.988,4,0,140.25696,39.156572,Sb,-99
J09252265+39335517,7.66,0.745,-2,0,141.34437,39.565325,S0,-99
J09415515+41243368,11.18,0.911,-5,0,145.47979,41.409356,E1,1
J09435745+41411444,8.9,0.693,3,4,145.98937,41.687344,SBb,-99
J10064458+43531884,12.93,0.698,-5,0,151.68575,43.888567,E3,3
J10240269+45133267,24.92,0.374,3,0,156.01121,45.225742,Sb,-99
J10263740+45144108,16.121,0.176,3,0,156.65583,45.244744,Sb,-99
J10354407+45545370,11.73,0.814,-5,0,158.93362,45.914917,E2,2
J10373668+46024006,38.01,0.639,5,0,159.40283,46.044461,Sc,-99
J10454655+46290352,6.6,0.604,-3,0,161.44396,46.484311,S0,-99
J10504514+46503243,44.98,0.431,5,8,162.68808,46.842342,SBc,-99
J11400740+48372728,9.23,0.855,3,0,175.03083,48.624244,Sb,-99
J11490463+48445902,5.75,0.692,-2,0,177.26929,48.749728,S0,-99
J11523368+48565579,20.26,0.568,1,0,178.14033,48.948831,Sa,-99
J11541490+48545875,8.141,0.764,-5,0,178.56208,48.916319,E2,2
J11585974+48584655,4.04,0.753,-5,0,179.74892,48.979597,E2,2
J12045772+49032005,4.15,0.313,-2,0,181.2405,49.055569,S0,-99
J12164894+49015472,9.4,0.701,5,0,184.20392,49.031867,Sc,-99
J12170120+49014568,7.8,0.784,5,8,184.255,49.029356,SBc,-99
J12175406+49020852,12.52,0.817,-5,0,184.47525,49.0357,E2,2
J12335832+49015492,9.46,0.722,-5,0,188.493,49.031922,E3,3
J12354160+48543476,4.7,0.389,1,0,188.92333,48.909656,Sa,-99
J12540245+48470618,14.16,0.656,-5,0,193.51021,48.78505,E3,3
J13003904+48340756,14.57,0.563,3,4,195.16267,48.568767,SBb,-99
J13455065+46550300,14.41,0.484,6,0,206.46104,46.9175,Sc,-99
J13583696+46151953,8.85,0.586,3,4,209.654,46.255425,SBb,-99
J14060063+45463638,4,0.344,-2,0,211.50262,45.776772,S0,-99
J14213593+44422902,14.14,0.857,-5,0,215.39971,44.708061,E1,1
J14240869+44334307,13.73,0.574,1,0,216.03621,44.561964,Sa,-99
J14474127+42361012,8.21,0.964,0,2,221.92196,42.602811,S0,-99
J14490118+42275015,40.06,0.266,5,0,222.25492,42.463931,Sc,-99
J14564942+41354711,17.75,0.329,6,0,224.20592,41.596419,Sc,-99
J14590290+41264870,11.96,0.784,-3,0,224.76208,41.446861,S0,-99
J15063141+40414635,4.87,0.499,-2,0,226.63087,40.696208,S0,-99
J15064548+40405148,10.68,0.47,1,0,226.6895,40.680967,Sa,-99
J15064236+40345035,14.54,0.674,-5,0,226.6765,40.580653,E3,3
J15071665+40310820,19.48,0.772,5,0,226.81937,40.518944,Sc,-99
J08312749+32192684,13.29,0.935,-5,0,127.86454,32.324122,E1,1
J09051940+37364934,4.33,0.546,-2,0,136.33083,37.613706,S0,-99
J09093606+38034817,5.74,0.286,0,0,137.40025,38.063381,S0,-99
J09202899+39392427,15.72,0.802,-5,0,140.12079,39.656742,E2,2
J09240956+39545270,10.8,0.879,3,4,141.03983,39.914639,SBb,-99
J09335268+41044663,12.5,0.681,-2,68,143.4695,41.079619,S0,-99
J09370127+41222263,7.51,0.247,-2,0,144.25529,41.372953,S0,-99
J09384330+41401636,10.46,0.956,-2,8,144.68042,41.671211,S0,-99
J09470428+42311624,44.89,0.586,4,4,146.76783,42.521178,SBb,-99
J10413873+46495967,11.65,0.513,5,0,160.41137,46.833242,Sc,-99
J10543804+47281305,16.62,0.931,-5,0,163.6585,47.470292,E1,1
J10544153+47270699,6.71,0.607,0,0,163.67304,47.451942,S0,-99
J10553701+47343840,7.09,0.698,-3,0,163.90421,47.577333,S0,-99
J11134490+48162170,42.32,0.775,3,2,168.43708,48.272694,SBb,-99
J11240653+48414661,19.07,0.258,4,0,171.02721,48.696281,Sb,-99
J11311090+48525796,4.6,0.305,1,0,172.79542,48.882767,Sa,-99
J11315213+48493443,8.29,0.288,3,0,172.96721,48.826231,Sb,-99
J11344654+48572211,14.55,0.943,-5,0,173.69392,48.956142,E1,1
J11354395+49021558,14.62,0.189,3,80,173.93312,49.037661,SBb,-99
J11363663+49034714,14.15,0.841,-5,0,174.15262,49.063094,E2,2
J11363390+48515099,7.75,0.568,-2,32,174.14125,48.864164,S0,-99
J11375976+48554818,6.35,0.642,-3,0,174.499,48.93005,S0,-99
J11554510+49174261,14.38,0.65,5,0,178.93792,49.295169,Sc,-99
J12323458+49231261,11.78,0.925,1,8,188.14408,49.386836,SBa,-99
J12344211+49192893,20.71,0.157,5,0,188.67546,49.324703,Sc,-99
J12371355+49265391,66.71,0.9,4,0,189.30646,49.448308,Sb,-99
J12485167+49180769,29.24,0.828,5,0,192.21529,49.302136,Sc,-99
J12573459+49085591,8.71,0.704,-5,0,194.39412,49.148864,E3,3
J13062453+48574450,50.12,0.913,5,0,196.60221,48.962361,Sc,-99
J13094698+48535857,6.8,0.763,-5,0,197.44575,48.899603,E2,2
J13125546+48424822,13.66,0.702,-3,0,198.23108,48.713394,S0,-99
J13133971+48373487,13.08,0.633,5,72,198.41546,48.626353,SBc,-99
J13545881+46564045,7.71,0.71,-2,0,208.74504,46.944569,S0,-99
J14135352+45521375,13.63,0.849,2,0,213.473,45.870486,Sa,-99
J14150808+45354146,32.44,0.43,5,0,213.78367,45.59485,Sc,-99
J14174129+45275697,8,0.859,-2,0,214.42204,45.465825,S0,-99
J14504372+42460273,8.37,0.596,1,0,222.68217,42.767425,Sa,-99
J14533536+42265006,16.95,0.253,5,0,223.39733,42.447239,Sc,-99
J15121717+40255052,13.28,0.982,-5,0,228.07154,40.4307,E0,0
J15252564+38482275,18.11,0.615,3,72,231.35683,38.806319,SBb,-99
J15255139+38461378,11.24,0.855,1,0,231.46412,38.770494,Sa,-99
J15345589+37355146,5.1,0.403,1,0,233.73287,37.597628,Sa,-99
J15383850+36573010,7.85,0.662,1,0,234.66042,36.958361,Sa,-99
J08353968+33234625,7.79,0.812,-5,0,128.91533,33.396181,E2,2
J08373334+33450685,18.78,0.907,-3,0,129.38892,33.751903,S0,-99
J08471555+35283016,15.52,0.635,-5,0,131.81479,35.475044,E4,4
J08482551+35365517,8.92,0.935,4,8,132.10629,35.615325,SBb,-99
J08543183+36303460,15.49,0.934,1,2,133.63262,36.509611,SBa,-99
J09000766+37244272,12.05,0.921,-5,0,135.03192,37.411867,E1,1
J09201533+39564018,11.2,0.522,-2,0,140.06387,39.944494,S0,-99
J09232078+40243899,9.77,0.806,1,0,140.83658,40.410831,Sa,-99
J09242175+40372773,8.75,0.399,0,0,141.09062,40.624369,S0,-99
J09253967+40384803,16.92,0.413,5,0,141.41529,40.646675,Sc,-99
J09313658+41190314,23.93,0.578,5,0,142.90242,41.317539,Sc,-99
J09435694+42402091,58.02,0.404,5,0,145.98725,42.672475,Sc,-99
J10045301+44381003,21.64,0.898,0,2,151.22087,44.636119,S0,-99
J10044591+44422077,36.35,0.591,6,4,151.19129,44.705769,SBc,-99
J10053104+44340167,4.87,0.833,-5,0,151.37933,44.567131,E2,2
J10121175+45083181,9.06,0.708,4,8,153.04896,45.142169,SBb,-99
J10191810+45484892,11.68,0.847,3,4,154.82542,45.813589,SBb,-99
J10314504+46401809,61.62,0.808,5,0,157.93767,46.671692,Sc,-99
J10471763+47252102,46.19,0.719,5,8,161.82346,47.422506,SBc,-99
J10543932+47514426,2.6,0.541,4,8,163.66383,47.862294,SBb,-99
J11224278+48572086,8.83,0.412,-2,0,170.67825,48.955794,S0,-99
J11303266+49100430,10.9,0.322,-2,0,172.63608,49.167861,S0,-99
J11331687+49170572,21.33,0.683,7,0,173.32029,49.284922,Sc,-99
J11350861+49171886,8.62,0.489,-2,0,173.78587,49.288572,S0,-99
J11360377+49270268,10.47,0.776,3,68,174.01571,49.450744,SBb,-99
J11355915+49155259,14.59,0.278,5,0,173.99646,49.264608,Sc,-99
J11451807+49341394,14.44,0.54,5,8,176.32529,49.570539,SBc,-99
J11552975+49474761,5.05,0.338,0,0,178.87396,49.796558,S0,-99
J12061189+49452473,13.25,0.556,4,0,181.54954,49.756869,Sb,-99
J12495698+49430540,14.34,0.331,5,0,192.48742,49.718167,Sc,-99
J13040462+49272836,15.15,0.243,3,0,196.01925,49.457878,Sb,-99
J13054154+49251776,14.89,0.615,-3,0,196.42308,49.4216,S0,-99
J13054068+49251756,10.2,0.607,-3,0,196.4195,49.421544,S0,-99
J13055897+49214452,13.51,0.443,1,0,196.49571,49.362367,Sa,-99
J13062001+49182077,30.9,0.714,5,0,196.58337,49.305769,Sc,-99
J13404529+48101704,14.51,0.849,5,8,205.18871,48.1714,SBc,-99
J13452723+47552179,58.02,0.49,5,8,206.36346,47.922719,SBc,-99
J13474661+47464225,12.63,0.679,-5,0,206.94421,47.778403,E3,3
J14100710+46262231,25.2,0.122,6,0,212.52958,46.439531,Sc,-99
J14123586+46121879,30.13,0.488,6,68,213.14942,46.205219,SBc,-99
J14185432+45573010,26.01,0.78,3,0,214.72633,45.958361,Sb,-99
J14192406+45540284,5.55,0.611,0,8,214.85025,45.900789,S0,-99
J14192512+45515132,10.06,0.823,-2,0,214.85467,45.864256,S0,-99
J14292342+45041932,57.9,0.401,3,8,217.34758,45.072033,SBb,-99
J14420288+43535382,11.33,0.715,-5,0,220.512,43.898283,E3,3
J15022220+41551823,16.2,0.502,7,0,225.5925,41.921731,Sc,-99
J15034090+41531669,14.29,0.583,3,0,225.92042,41.887969,Sb,-99
J15103610+41031693,21.01,0.916,3,0,227.65042,41.054703,Sb,-99
J15112730+41052392,12.72,0.715,4,0,227.86375,41.089978,Sb,-99
J15251832+39134772,11.73,0.457,3,0,231.32633,39.229922,Sb,-99
J15270376+39002339,10.3,0.59,-3,0,231.76567,39.006497,S0,-99
J08451207+35414917,8.16,0.813,-5,0,131.30029,35.696992,E2,2
J08464541+35490442,13.38,0.774,-5,0,131.68921,35.817894,E2,2
J08491639+36071128,29.32,0.938,5,0,132.31829,36.1198,Sc,-99
J08503993+36280267,14.73,0.824,5,0,132.66637,36.467408,Sc,-99
J08553257+37120759,8.76,0.633,6,4,133.88571,37.202108,SBc,-99
J09010169+37523164,21.39,0.809,-3,0,135.25704,37.875456,S0,-99
J09174059+40051331,13.25,0.807,3,4,139.41912,40.087031,SBb,-99
J09234096+40500059,10.68,0.357,3,0,140.92067,40.833497,Sb,-99
J09245321+41033662,13.1,0.559,5,0,141.22171,41.060172,Sc,-99
J09301868+41352195,9.96,0.923,3,0,142.57783,41.589431,Sb,-99
J09325162+42033182,12.63,0.383,3,0,143.21508,42.058839,Sb,-99
J09455879+43181780,10.05,0.964,-5,0,146.49496,43.304944,E0,0
J09465017+43252585,10.38,0.801,0,0,146.70904,43.423847,S0,-99
J09471986+43240142,7.54,0.973,-5,0,146.83275,43.400394,E0,0
J09503727+43453375,9.43,0.64,1,4,147.65529,43.759375,SBa,-99
J10023290+44471747,27,0.676,5,0,150.63708,44.788186,Sc,-99
J10040479+45020610,29.38,0.774,5,0,151.01996,45.035028,Sc,-99
J10145907+45553340,8.03,0.705,-5,0,153.74612,45.925944,E3,3
J10485292+48031479,19.73,0.574,2,0,162.2205,48.054108,Sa,-99
J11101363+48570508,10.48,0.545,3,0,167.55679,48.951411,Sb,-99
J11341275+49472876,7.35,0.841,3,0,173.55312,49.791322,Sb,-99
J11354310+49441657,15.71,0.741,4,0,173.92958,49.737936,Sb,-99
J11551020+50091953,14.26,0.237,5,0,178.7925,50.155425,Sc,-99
J11562126+50094744,8.93,0.271,3,0,179.08858,50.163178,Sb,-99
J11581545+50112238,4.97,0.821,-5,0,179.56437,50.18955,E2,2
J12441428+50135436,12.6,0.456,1,0,191.0595,50.231767,Sa,-99
J12481892+50070302,15.75,0.556,-5,0,192.07883,50.117506,E4,4
J12583941+49593180,16.62,0.374,2,0,194.66421,49.992167,Sa,-99
J13002729+49585017,52.58,0.648,5,0,195.11371,49.980603,Sc,-99
J13010678+49533259,11.62,0.877,-5,0,195.27825,49.892386,E1,1
J13021158+49543746,6.39,0.581,-5,0,195.54825,49.910406,E4,4
J13051615+49483376,8.86,0.397,5,4,196.31729,49.809378,SBc,-99
J13090451+49455931,16.47,0.909,-3,0,197.26879,49.766475,S0,-99
J13100465+49394162,25.04,0.758,4,0,197.51937,49.661561,Sb,-99
J13300802+48533583,11.08,0.869,3,0,202.53342,48.893286,Sb,-99
J13484003+48025403,9.35,0.736,2,4,207.16679,48.048342,SBa,-99
J14234578+45555219,0,0.876,3,0,215.94075,45.931164,Sb,-99
J14251237+45551231,8.92,0.459,0,0,216.30154,45.920086,S0,-99
J14250541+45472905,14.34,0.862,5,0,216.27254,45.791403,Sc,-99
J14354353+44594610,32.51,0.835,4,0,218.93137,44.996139,Sb,-99
J14411715+44284387,16.39,0.884,-2,0,220.32146,44.478853,S0,-99
J14413202+44304600,53.33,0.663,5,0,220.38342,44.512778,Sc,-99
J15055682+42133433,33.7,0.765,7,72,226.48675,42.226203,SBc,-99
J15121627+41224151,8.73,0.794,1,0,228.06779,41.378197,Sa,-99
J15130737+41155266,66,0.594,3,4,228.28071,41.264628,SBb,-99
J15131575+41194070,14.66,0.389,3,0,228.31562,41.327972,Sb,-99
J15183889+40450024,11.57,0.886,-5,0,229.66204,40.750067,E1,1
J15323456+38545835,10.22,0.541,-5,0,233.144,38.916208,E5,5
J08371748+34522403,12.26,0.875,1,0,129.32283,34.873342,Sa,-99
J08381619+35052273,10.17,0.803,-5,0,129.56746,35.089647,E2,2
J08492255+36423721,32.12,0.513,5,4,132.34396,36.710336,SBc,-99
J08494175+36500241,7.39,0.852,-5,0,132.42396,36.834003,E1,1
J08501441+37011244,14.38,0.456,3,0,132.56004,37.020122,Sb,-99
J08560592+37474697,8.34,0.45,1,4,134.02467,37.796381,SBa,-99
J09013126+38281287,9.9,0.933,-5,0,135.38025,38.470242,E1,1
J09014631+38361216,14.27,0.894,3,0,135.44296,38.603378,Sb,-99
J09091710+39441245,4.26,0.817,4,4,137.32125,39.736792,SBb,-99
J09380383+42582755,8.16,0.474,-5,0,144.51596,42.974319,E5,5
J09374515+43060235,7.14,0.364,1,0,144.43812,43.100653,Sa,-99
J09484363+44045314,78.39,0.451,5,0,147.18179,44.081428,Sc,-99
J09493426+44060967,8.88,0.59,0,0,147.39275,44.102686,S0,-99
J09491487+44075276,23.64,0.248,5,80,147.31196,44.131322,SBc,-99
J09501112+44174213,24.21,0.921,4,8,147.54633,44.295036,SBb,-99
J09503315+44185173,11.5,0.631,-5,0,147.63812,44.314369,E4,4
J09503456+44192426,0,0.666,-2,0,147.644,44.323406,S0,-99
J09503944+44195207,14.01,0.708,7,68,147.66433,44.331131,SBc,-99
J10105438+45570133,23.6,0.168,4,0,152.72658,45.950369,Sb,-99
J10204678+46461617,9.47,0.588,1,0,155.19492,46.771158,Sa,-99
J10202665+46481655,12.54,0.379,5,0,155.11104,46.804597,Sc,-99
J10244609+46591810,13.52,0.544,4,4,156.19204,46.988361,SBb,-99
J10263365+47092117,25,0.809,4,2,156.64021,47.155881,SBb,-99
J10294542+47170549,14.32,0.624,4,0,157.43925,47.284858,Sb,-99
J10300935+47164222,11.52,0.499,5,0,157.53896,47.278394,Sc,-99
J10551413+48432763,56.15,0.641,5,0,163.80887,48.724342,Sc,-99
J11094618+49244028,67.34,0.514,4,4,167.44242,49.411189,SBb,-99
J11211193+49490161,15.06,0.599,5,0,170.29971,49.817114,Sc,-99
J11325634+50143106,9.44,0.687,-3,0,173.23475,50.241961,S0,-99
J11472855+50255329,21.97,0.362,5,0,176.86896,50.431469,Sc,-99
J11494568+50313757,19.69,0.663,4,0,177.44033,50.527103,Sb,-99
J11500584+50280315,12.33,0.451,5,8,177.52433,50.467542,SBc,-99
J11503477+50314463,23,0.482,0,0,177.64487,50.529064,S0,-99
J11503112+50323522,12.53,0.343,3,0,177.62967,50.543117,Sb,-99
J11523263+50272652,25.29,0.975,2,0,178.13596,50.457367,Sa,-99
J11530887+50282599,5.89,0.436,0,0,178.28696,50.473886,S0,-99
J11553621+50403303,16.11,0.531,-2,0,178.90087,50.675842,S0,-99
J12132927+50442971,24.8,0.693,-5,0,183.37196,50.741586,E3,3
J12150990+50410736,11.67,0.737,1,4,183.79125,50.685378,SBa,-99
J12160708+50493048,6.25,0.346,3,0,184.0295,50.825133,Sb,-99
J12302208+50422276,16.66,0.591,6,0,187.592,50.706322,Sc,-99
J12313739+50421757,6.17,0.477,-3,0,187.90579,50.704881,S0,-99
J12314297+50401908,6.68,0.937,-5,0,187.92904,50.671967,E1,1
J12342975+50401648,16.76,0.66,-5,0,188.62396,50.671244,E3,3
J13060396+50145925,18.25,0.844,-5,0,196.5165,50.249792,E2,2
J13064905+50032736,8.27,0.82,-5,0,196.70437,50.0576,E2,2
J13104702+50053458,35,0.608,5,72,197.69592,50.092939,SBc,-99
J13435649+48520883,11.9,0.899,-5,0,205.98537,48.869119,E1,1
J14123580+47151099,18.35,0.446,2,0,213.14917,47.253053,Sa,-99
J14224562+46324862,9.62,0.957,0,0,215.69008,46.546839,S0,-99
J14281990+45590967,10.59,0.692,-5,0,217.08292,45.986019,E3,3
J14331585+45465185,15.64,0.791,-5,0,218.31604,45.781069,E2,2
J14550905+43490687,49.89,0.346,5,0,223.78771,43.818575,Sc,-99
J14590060+43242782,13.56,0.648,-3,0,224.7525,43.407728,S0,-99
J15002500+43171325,7.87,0.339,-3,0,225.10417,43.287014,S0,-99
J15045082+42440425,19.07,0.557,1,0,226.21175,42.734514,Sa,-99
J15321881+39245772,8.85,0.806,-2,0,233.07837,39.416033,S0,-99
J15334445+39134203,4.83,0.665,-5,0,233.43521,39.228342,E3,3
J09585886+45293531,28,0.691,4,0,149.74525,45.493142,Sb,-99
J10073949+46092698,18.29,0.603,4,0,151.91454,46.157494,Sb,-99
J10252584+47284225,9.33,0.62,-5,0,156.35767,47.478403,E4,4
J10265735+47312762,14.82,0.772,-5,0,156.73896,47.524339,E2,2
J10275462+47400357,7.56,0.396,-2,4,156.97758,47.667658,S0,-99
J10543288+49131607,9.47,0.765,-5,0,163.637,49.221131,E2,2
J11570892+50573070,7.45,0.749,-5,0,179.28717,50.958528,E3,3
J12223502+51091778,9.46,0.612,-3,0,185.64592,51.154939,S0,-99
J12224321+51081155,8.7,0.483,-2,0,185.68004,51.136542,S0,-99
J12225922+51124177,9.87,0.485,-2,0,185.74675,51.211603,S0,-99
J12271853+51102953,9.35,0.946,-3,0,186.82721,51.174869,S0,-99
J12371567+51021249,10.57,0.851,-5,0,189.31529,51.036803,E1,1
J12594772+50474330,17.18,0.859,-5,0,194.94883,50.795361,E1,1
J13031611+50371500,40.8,0.924,3,4,195.81712,50.620833,SBb,-99
J13095810+50244402,6.87,0.749,-3,0,197.49208,50.412228,S0,-99
J13100839+50304089,20.64,0.438,3,2,197.53496,50.511358,SBb,-99
J13580546+48291234,12.47,0.813,2,0,209.52275,48.486761,Sa,-99
J14071583+48013051,6.14,0.528,-3,0,211.81596,48.025142,S0,-99
J14160518+47185045,7.56,0.744,2,96,214.02158,47.314014,SBa,-99
J14463941+44534216,12.51,0.433,3,0,221.66421,44.895044,Sb,-99
J10385170+05401231,7.85,0.582,-2,0,159.71542,5.670086,S0,-99
J10384676+05414885,67.42,0.548,5,0,159.69483,5.696903,Sc,-99
J10594704+05574312,13.1,0.919,-5,0,164.946,5.961978,E1,1
J08431555+03412652,14.44,0.81,5,0,130.81479,3.6907,Sc,-99
J09221760+04423000,23.55,0.486,3,0,140.57333,4.708333,Sb,-99
J10051852+05341079,7.98,0.619,-5,0,151.32717,5.569664,E4,4
J10150266+05403694,16.91,0.723,2,2,153.76108,5.676928,SBa,-99
J10162419+05414343,12.31,0.896,-5,0,154.10079,5.695397,E1,1
J10252032+05554777,10.45,0.67,-3,0,156.33467,5.929936,S0,-99
J10380976+05565065,19.6,0.597,2,0,159.54067,5.947403,Sa,-99
J10400295+06011406,21.74,0.193,3,0,160.01229,6.020572,Sb,-99
J10454332+06112647,10.47,0.718,-5,0,161.4305,6.190686,E3,3
J10501692+06072132,5.15,0.649,-3,0,162.5705,6.122589,S0,-99
J10520819+06091514,5.65,0.677,3,8,163.03412,6.154206,SBb,-99
J10575311+06224527,8.75,0.955,-2,0,164.47129,6.379242,S0,-99
J11002767+06240918,15.41,0.859,3,4,165.11529,6.40255,SBb,-99
J11071656+06180882,15.75,0.648,-5,0,166.819,6.30245,E4,4
J11085513+06183083,20.86,0.831,5,0,167.22971,6.308564,Sc,-99
J11090160+06195971,15.81,0.782,3,0,167.25667,6.333253,Sb,-99
J11113256+06262615,12.76,0.742,-5,0,167.88567,6.440597,E3,3
J08140367+03225658,21.49,0.786,4,0,123.51529,3.382383,Sb,-99
J08225327+03341629,66.39,0.646,5,0,125.72196,3.571192,Sc,-99
J08325374+03501261,20.01,0.806,2,72,128.22392,3.836836,SBa,-99
J08364323+03584692,12.11,0.918,-2,4,129.18012,3.9797,S0,-99
J08382258+04001837,12.04,0.657,4,4,129.59408,4.005103,SBb,-99
J08480274+04160673,10.55,0.724,0,4,132.01142,4.268536,S0,-99
J08551685+04280414,11.64,0.869,-5,0,133.82021,4.467817,E1,1
J08555319+04223006,12.85,0.595,-2,0,133.97162,4.375017,S0,-99
J09223480+05083971,9.38,0.728,3,8,140.645,5.144364,SBb,-99
J09515526+05424304,12.8,0.559,1,0,147.98025,5.711956,Sa,-99
J10120954+06042144,20.04,0.218,3,0,153.03975,6.072622,Sb,-99
J10205335+06092228,8.43,0.669,3,0,155.22229,6.156189,Sb,-99
J10445172+06354864,60.43,0.972,5,0,161.2155,6.596844,Sc,-99
J10540438+06433138,17.68,0.761,1,0,163.51825,6.725383,Sa,-99
J10573117+06393769,17.76,0.837,-5,0,164.37987,6.660469,E2,2
J10582314+06425355,10.61,0.858,-5,0,164.59642,6.714875,E1,1
J11032678+06522041,14.47,0.721,-5,0,165.86158,6.872336,E3,3
J11032121+06502816,14.4,0.779,-5,0,165.83837,6.841156,E2,2
J11072880+06425131,21.02,0.814,-5,0,166.87,6.714253,E2,2
J11082791+06443087,12.88,0.753,-3,0,167.11629,6.741908,S0,-99
J08191716+03473469,12.31,0.347,0,0,124.8215,3.792969,S0,-99
J08251746+03560089,13.27,0.828,-2,0,126.32275,3.933581,S0,-99
J08265614+04050352,11.9,0.899,4,0,126.73392,4.084311,Sb,-99
J08315499+04140162,13.76,0.72,0,0,127.97912,4.233783,S0,-99
J08380547+04194217,15.61,0.337,2,0,129.52279,4.328381,Sa,-99
J08382256+04212154,6.32,0.727,-5,0,129.594,4.355983,E3,3
J09014147+04572617,17.16,0.761,-5,0,135.42279,4.957269,E2,2
J09190970+05263935,15.33,0.435,4,0,139.79042,5.444264,Sb,-99
J09343864+05502917,33.42,0.088,4,2,143.661,5.841436,SBb,-99
J09520451+06123353,6.35,0.654,-5,0,148.01879,6.209314,E3,3
J10141844+06304641,13.09,0.956,3,0,153.57683,6.512892,Sb,-99
J10205820+06383051,8.23,0.757,-5,0,155.2425,6.641808,E2,2
J10315437+06465597,12.18,0.6,3,0,157.97654,6.782214,Sb,-99
J10402466+06513770,13.75,0.351,3,0,160.10275,6.860472,Sb,-99
J10403183+06521313,14.87,0.698,-5,0,160.13262,6.870314,E3,3
J10482651+06580138,20.69,0.697,6,8,162.11046,6.96705,SBc,-99
J10542612+07083379,18.72,0.965,-5,0,163.60883,7.142719,E0,0
J11004083+07132403,27.43,0.894,2,0,165.17012,7.223342,Sa,-99
J11073520+07190351,14.32,0.922,-2,0,166.89667,7.317642,S0,-99
J11100793+07171239,18.27,0.918,5,8,167.53304,7.286775,SBc,-99
J11094114+07144177,38.98,0.906,7,8,167.42142,7.244936,SBc,-99
J11095653+07140048,22.36,0.209,5,0,167.48554,7.233467,Sc,-99
J08220190+04233326,11.68,0.812,0,0,125.50792,4.392572,S0,-99
J08224168+04194026,19.77,0.943,-5,0,125.67367,4.32785,E1,1
J08225763+04230845,9.53,0.252,2,16,125.74012,4.385681,SBa,-99
J08225890+04175677,25.12,0.685,-5,0,125.74542,4.299103,E3,3
J08232166+04222090,44.22,0.723,-5,0,125.84025,4.372472,E3,3
J08233072+04175822,16.92,0.886,-5,0,125.878,4.299506,E1,1
J08252121+04255146,9.37,0.773,-2,0,126.33837,4.430961,S0,-99
J08263776+04233461,6.36,0.67,-3,0,126.65733,4.392947,S0,-99
J08353878+04452528,8.57,0.886,-2,0,128.91158,4.757022,S0,-99
J08362628+04391463,27.21,0.608,5,8,129.1095,4.654064,SBc,-99
J08371490+04414520,21.94,0.863,1,0,129.31208,4.695889,Sa,-99
J08511129+05041872,11.06,0.495,6,72,132.79704,5.071867,SBc,-99
J09043954+05304339,11.53,0.399,2,0,136.16475,5.512053,Sa,-99
J09131241+05363911,16.39,0.719,1,0,138.30171,5.610864,Sa,-99
J09185805+05531817,17.32,0.919,4,0,139.74187,5.888381,Sb,-99
J09190442+05531027,16.89,0.546,2,0,139.76842,5.886186,Sa,-99
J09193311+05525793,38.14,0.513,3,2,139.88796,5.882758,SBb,-99
J09241539+05562819,58.02,0.565,3,8,141.06412,5.941164,SBb,-99
J09392932+06134499,0,0.276,6,0,144.87217,6.229164,Sc,-99
J09423439+06163834,26.95,0.597,6,0,145.64329,6.277317,Sc,-99
J09432334+06180372,11.7,0.851,-5,0,145.84725,6.301033,E1,1
J09431220+06180824,9.53,0.808,-5,0,145.80083,6.302289,E2,2
J09453027+06223654,33.58,0.44,6,4,146.37612,6.376817,SBc,-99
J09543722+06371953,10.03,0.611,0,0,148.65508,6.622092,S0,-99
J09555894+06335843,13.54,0.693,3,2,148.99558,6.566231,SBb,-99
J10000192+06360639,15.48,0.929,2,0,150.008,6.601775,Sa,-99
J10154176+07030764,0,0.866,0,0,153.924,7.052122,S0,-99
J10181972+07025751,16.47,0.587,5,0,154.58217,7.049308,Sc,-99
J10201000+06570922,9.59,0.789,1,0,155.04167,6.952561,Sa,-99
J10302093+07130775,7.47,0.312,2,0,157.58721,7.218819,Sa,-99
J10340313+07131302,8.4,0.574,-2,0,158.51304,7.220283,S0,-99
J10581225+07341805,18.45,0.873,-2,0,164.55104,7.571681,S0,-99
J11002023+07351529,8.51,0.223,2,0,165.08429,7.587581,Sa,-99
J11025753+07361388,13.12,0.825,-5,0,165.73971,7.603856,E2,2
J11104581+07434161,9.1,0.901,0,72,167.69087,7.728225,S0,-99
J11130730+07411679,12.44,0.891,0,0,168.28042,7.687997,S0,-99
J11134131+07454598,5.55,0.592,-2,0,168.42212,7.762772,S0,-99
J09210495+06114443,19.54,0.944,0,0,140.27062,6.195675,S0,-99
J09375442+06391283,22.17,0.299,3,4,144.47675,6.653564,SBb,-99
J10044142+07123191,4.47,0.535,-2,0,151.17258,7.208864,S0,-99
J10075376+07204007,8.6,0.526,3,0,151.974,7.344464,Sb,-99
J10154210+07194027,29.79,0.122,5,0,153.92542,7.327853,Sc,-99
J10253121+07274658,9.63,0.691,-5,0,156.38004,7.462939,E3,3
J10260654+07282683,9.91,0.865,1,0,156.52725,7.474119,Sa,-99
J10303597+07424176,12.41,0.761,3,4,157.64987,7.7116,SBb,-99
J10320022+07402233,6.09,0.688,-5,0,158.00092,7.672869,E3,3
J10420256+07462384,8.78,0.647,-2,0,160.51067,7.773289,S0,-99
J10444366+07472195,6.56,0.958,0,0,161.18192,7.789431,S0,-99
J10451763+07485017,21.79,0.913,0,0,161.32346,7.813936,S0,-99
J10522895+07541535,43.45,0.755,6,4,163.12062,7.904264,SBc,-99
