SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J14333825+03414615,6.98,0.845,0,0,218.40937,3.696153,S0,-99
J14335142+03404615,8.72,0.394,1,0,218.46425,3.679486,Sa,-99
J14335810+03444813,12.87,0.839,1,0,218.49208,3.746703,Sa,-99
J14340396+03445145,6.96,0.843,-2,0,218.5165,3.747625,S0,-99
J14341901+03395180,15.78,0.491,1,0,218.57921,3.664389,Sa,-99
J14345062+03384256,28.45,0.917,4,0,218.71092,3.645156,Sb,-99
J14353574+03412126,18.09,0.262,0,16,218.89892,3.689239,S0,-99
J14361910+03373471,15.91,0.815,5,0,219.07958,3.626308,Sc,-99
J14365696+03310654,8.78,0.793,0,0,219.23733,3.518483,S0,-99
J14391567+03403898,11.34,0.929,-3,0,219.81529,3.677494,S0,-99
J14390716+03392520,17.58,0.945,7,0,219.77983,3.657,Sc,-99
J14393093+03401472,6.87,0.906,-2,0,219.87887,3.670756,S0,-99
J14394136+03373271,9.93,0.876,0,0,219.92233,3.625753,S0,-99
J14401686+03393258,10.87,0.674,2,8,220.07025,3.65905,SBa,-99
J14401640+03311246,5.62,0.971,-2,0,220.06833,3.520128,S0,-99
J14402599+03355611,6.4,0.579,0,0,220.10829,3.598919,S0,-99
J14403185+03303341,8.21,0.427,1,0,220.13271,3.509281,Sa,-99
J14404283+03275551,45.29,0.744,-5,0,220.17846,3.465419,E3,3
J14403901+03281099,39.08,0.906,-3,0,220.16254,3.469719,S0,-99
J14413210+03355718,6.03,0.643,0,0,220.38375,3.599217,S0,-99
J14414690+03271948,8.11,0.734,-2,0,220.44542,3.455411,S0,-99
J14425725+03332712,15.05,0.753,0,0,220.73854,3.557533,S0,-99
J14451634+03241435,9.71,0.602,-3,0,221.31808,3.403986,S0,-99
J14472516+03262794,7.97,0.754,-5,0,221.85483,3.441094,E2,2
J14515339+03214772,24.34,0.453,5,0,222.97246,3.363256,Sc,-99
J14523408+03243351,14.34,0.699,2,0,223.142,3.409308,Sa,-99
J14535128+03290479,19.48,0.436,4,0,223.46367,3.484664,Sb,-99
J14580571+03174570,8.36,0.239,1,16,224.52379,3.296028,SBa,-99
J14580833+03252369,18.33,0.295,6,0,224.53471,3.423247,Sc,-99
J14583785+03172870,11.31,0.821,0,8,224.65771,3.291306,S0,-99
J14582897+03242507,10.42,0.675,-3,0,224.62071,3.406964,S0,-99
J15041615+03175548,12.3,0.323,5,0,226.06729,3.298744,Sc,-99
J15061168+03083322,22.56,0.855,-5,0,226.54867,3.142561,E1,1
J15072713+03120987,16.81,0.556,5,0,226.86304,3.202742,Sc,-99
J15100512+03091217,4.62,0.305,1,0,227.52133,3.153381,Sa,-99
J15123367+03042512,4.61,0.725,-2,0,228.14029,3.073644,S0,-99
J15125975+03091887,21.57,0.905,-5,0,228.24896,3.155242,E1,1
J15155385+03030114,11.67,0.74,2,4,228.97437,3.050317,SBa,-99
J15161838+03040164,6.84,0.58,-5,0,229.07658,3.067122,E4,4
J15185875+03002618,16.82,0.9,3,0,229.74479,3.007272,Sb,-99
J15420333+02414712,14.7,0.942,4,4,235.51387,2.696422,SBb,-99
J15490397+02314208,18.86,0.625,4,0,237.26654,2.528356,Sb,-99
J15575510+02203660,9.68,0.637,-3,0,239.47958,2.3435,S0,-99
J15585652+02263493,15.12,0.275,4,0,239.7355,2.443036,Sb,-99
J15594333+02245568,5.3,0.479,1,4,239.93054,2.415467,SBa,-99
J12303721+04573274,10.75,0.726,-5,0,187.65504,4.959094,E3,3
J12472628+04461750,14.81,0.573,-3,0,191.8595,4.771528,S0,-99
J12475323+04494210,8.131,0.943,5,0,191.97179,4.828361,Sc,-99
J12494326+04461044,14.15,0.159,5,0,192.43025,4.769567,Sc,-99
J12511288+04513256,20.22,0.952,5,0,192.80367,4.859044,Sc,-99
J12582115+04530832,0.62,0.604,3,2,194.58812,4.885644,SBb,-99
J13121132+04464129,7.33,0.554,1,0,198.04717,4.778136,Sa,-99
J13124237+04434682,28.67,0.861,5,0,198.17654,4.729672,Sc,-99
J13242824+04462962,6.63,0.521,0,0,201.11767,4.774894,S0,-99
J13381587+04323334,29.33,0.496,0,0,204.56612,4.542594,S0,-99
J13391326+04372401,13.74,0.374,4,4,204.80525,4.623336,SBb,-99
J13392732+04303803,10.05,0.369,7,0,204.86383,4.510564,Sc,-99
J13400015+04403906,14.83,0.872,3,4,205.00062,4.677517,SBb,-99
J13421724+04371127,10.38,0.685,1,0,205.57183,4.619797,Sa,-99
J14334367+03585984,4.55,0.617,-2,0,218.43196,3.983289,S0,-99
J14371058+04035430,19.7,0.942,4,0,219.29408,4.065083,Sb,-99
J14375538+03590431,14.07,0.909,-2,4,219.48075,3.984531,S0,-99
J14384741+03562955,12.24,0.597,3,0,219.69754,3.941542,Sb,-99
J14390688+03595700,9.31,0.971,0,0,219.77867,3.999167,S0,-99
J14394117+03552650,13,0.491,1,0,219.92154,3.924028,Sa,-99
J14414050+04034712,16.78,0.902,4,0,220.41875,4.063089,Sb,-99
J14423816+03584201,17.2,0.411,0,4,220.659,3.978336,S0,-99
J14492871+03480776,15.93,0.687,2,2,222.36962,3.802156,SBa,-99
J15055655+03422631,1.47,0.508,4,8,226.48562,3.707308,SBb,-99
J15060957+03403021,11.71,0.707,-5,0,226.53987,3.675058,E3,3
J15111470+03295556,14.71,0.981,-5,0,227.81125,3.498767,E0,0
J15133512+03310047,5.53,0.315,1,0,228.39633,3.516797,Sa,-99
J15150903+03300935,7.74,0.635,-3,0,228.78762,3.502597,S0,-99
J15180462+03292313,3.54,0.628,1,0,229.51925,3.489758,Sa,-99
J15184034+03293574,17.88,0.658,3,0,229.66808,3.493261,Sb,-99
J15190578+03220175,12.57,0.935,3,0,229.77408,3.367153,Sb,-99
J15202956+03254832,13.65,0.807,3,4,230.12317,3.430089,SBb,-99
