objid,ra,dec,petroR90_g,hubble
587725076069154984,146.84078558,0.886239,13.472334,Sa
587725469052502129,118.31732764,39.05013609,15.362469,Sb
587725469060432032,135.099711,52.95712629,8.520674,Sa
587725469063184628,143.58515596,57.14612334,8.469567,Sa
587725469064495288,148.09347027,58.93923758,12.651805,Sb
587725469591863635,122.36345859,43.9349234,15.041189,Sb
587725469593174252,124.74070042,46.35626655,12.903851,Sc
587725469595730039,130.45487714,50.78642666,12.676614,Sb
587725469596713159,133.14843894,52.36647564,13.081419,Sa
587725469599203460,140.10145835,56.23470505,11.622404,Sa
587725470125457836,116.15203472,38.04442,15.023732,Sa
587725470132732028,130.3838025,51.24629713,25.708101,Sb
587725470134632556,135.38029839,54.29324645,10.769954,Sa
587725470662590693,116.18210961,38.63499133,13.250991,Sc
587725470663639354,117.80287869,40.74246046,12.409751,Sa
587725470670192770,131.50924645,52.53307414,16.460064,Sb
587725470673076407,139.64384485,57.18221237,7.835448,Sa
587725470673404001,140.6797349,57.51776583,13.387371,Sb
587725470673862874,142.28374137,58.30530892,11.025793,Sa
587725471205556424,127.15633254,50.30031844,6.846684,Sa
587725474955198506,153.15343769,61.94316143,12.817965,Sa
587725489988370686,256.29527335,58.69479994,9.24766,Sa
587725489988894976,256.8669464,57.64101975,14.71492,Sa
587725489989288107,257.75447695,56.75826817,9.882343,Sa
587725490525045016,256.63583258,59.23390288,8.945514,Sa
