OBJID,RA,DEC
587742008971034714,08:23:50.13,+11:33:01.3
587731520665223432,08:24:07.12,+35:13:30.2
587739406758576189,08:24:09.62,+19:24:44.0
587737809035067559,08:24:10.76,+54:19:29.6
587732578294956278,08:24:15.04,+04:02:45.6
587728931339174063,08:24:28.05,+41:43:19.1
587741708862423356,08:24:33.88,+14:55:01.1
587728930802106497,08:24:40.15,+41:03:05.6
588007004161507583,08:24:45.81,+47:12:21.8
587745539970629829,08:25:20.87,+09:14:33.7
587732054851190992,08:25:28.81,+35:03:30.5
587732471460200717,08:25:30.49,+32:28:45.0
587742061048234145,08:26:10.27,+11:48:30.8
587731680652427517,08:26:14.16,+37:05:05.6
587725469056893217,08:26:17.25,+47:04:34.4
587741533840932942,08:26:42.91,+17:38:40.6
587745402532004158,08:26:45.72,+09:01:57.1
587732053777383436,08:27:08.66,+34:20:57.9
587738067271090432,08:27:09.41,+59:47:37.0
587725979614576774,08:27:20.29,+50:24:17.5
588023047472742737,08:27:33.63,+16:00:53.7
587731872852672716,08:27:36.61,+39:02:09.5
588023047472742578,08:27:46.05,+15:59:38.2
587728665043599602,08:28:02.68,+45:02:27.3
587732483803578497,08:28:19.00,+32:46:46.2
587741708325880118,08:28:23.51,+14:50:30.4
587741816235491658,08:28:28.67,+13:41:11.5
587732054851584211,08:28:31.68,+35:48:28.3
588297863638155530,08:28:48.01,+29:30:51.6
587734623240978740,08:29:05.09,+30:49:00.9
587737826752725203,08:29:06.86,+56:13:55.9
587731885737443498,08:29:09.21,+39:03:04.2
587732469849653379,08:29:33.39,+31:39:54.9
587732469849718804,08:29:46.72,+31:42:40.0
587745402532331789,08:29:56.59,+09:20:31.0
587745403069268152,08:30:07.77,+09:38:41.7
587731887348646181,08:30:15.44,+40:53:06.8
587731522277146889,08:30:16.29,+38:11:21.6
587725552810066108,08:30:32.66,+53:51:51.0
587735043611754641,08:30:37.00,+28:30:21.0
587731886274642000,08:30:52.90,+39:50:47.6
587741709400146195,08:31:14.55,+16:06:06.6
587737825141653746,08:31:25.75,+54:38:50.0
587732053777842453,08:31:26.01,+35:01:57.4
587731679579013368,08:31:30.97,+37:09:29.1
588297864175550754,08:31:59.69,+30:39:30.8
587734622704369872,08:32:07.40,+30:47:36.9
588297864712552700,08:32:10.65,+31:02:21.0
587732053778039019,08:32:27.71,+35:25:24.2
588016879902130369,08:32:57.46,+27:38:23.5
587731873390395639,08:33:32.75,+40:41:50.5
587732577759068687,08:33:36.42,+03:44:29.5
587732053241102507,08:33:47.34,+35:00:02.3
587735343182053581,08:33:53.91,+06:24:47.7
587734623241633973,08:34:00.36,+31:46:20.9
587738565482119290,08:35:05.70,+08:50:41.1
588013383262535933,08:35:21.17,+35:58:22.8
588297864175943813,08:35:40.59,+31:04:30.9
587732484341498165,08:35:52.04,+34:37:37.8
587735043075342518,08:36:05.39,+28:49:29.2
588016840173420807,08:36:07.81,+26:48:43.4
587731681190740176,08:36:48.72,+39:40:35.0
587737825142177927,08:36:58.51,+55:38:44.8
587728932414685503,08:37:06.60,+45:11:41.4
587735241173893346,08:37:12.46,+29:43:44.9
587739114702438684,08:37:27.76,+23:06:17.5
587729386600202462,08:37:29.50,+43:52:09.7
588013382725795965,08:37:41.99,+35:57:00.9
587732578296463551,08:37:59.40,+04:18:13.8
587744638566138261,08:38:20.04,+15:04:33.7
588016841247686780,08:38:21.54,+28:08:54.8
587731885738492062,08:38:35.79,+40:39:27.0
587738067809075433,08:38:41.23,+62:02:09.0
588013383262994670,08:38:47.16,+36:43:06.7
587732470387900575,08:39:23.36,+33:58:13.1
587725471206670487,08:39:28.37,+52:15:03.8
587735241711222980,08:39:34.98,+30:38:38.4
587732469850833045,08:39:50.26,+33:17:23.6
587744873715204343,08:39:54.15,+11:15:12.8
588016840710946891,08:40:20.64,+28:00:44.5
588013383263125768,08:40:36.41,+36:54:17.5
587735042538930311,08:40:41.62,+29:04:05.0
587728668272033964,08:40:43.41,+46:31:57.4
588297864176599167,08:40:51.14,+31:58:53.5
587735042538930362,08:41:02.34,+29:03:39.6
588297864176664736,08:41:13.72,+32:05:30.5
588016840711012529,08:41:13.80,+27:54:28.1
587732470388031532,08:41:17.93,+34:02:20.2
587732483805151386,08:41:41.45,+34:57:20.9
587745403070578790,08:41:51.72,+10:26:37.2
588010359064690965,08:42:47.99,+02:55:18.2
587739158988587285,08:43:15.97,+25:04:54.0
587735240637677735,08:43:22.90,+30:20:27.4
587727942951829819,08:43:24.52,+00:57:05.6
587735348015005816,08:43:24.78,+08:39:45.7
587732052705214606,08:43:25.28,+36:11:19.5
587726033300881609,08:44:06.46,+01:53:47.1
588007004700672140,08:44:21.05,+51:24:21.3
